id,amount,status,created_at,updated_at,user_id,moderated_at,deleted_account_id,reimbursement_date,cash_request_received_date,money_back_date,transfer_type,send_at,recovery_status,reco_creation,reco_last_update
7625,100.0,money_back,11/07/2020,18/12/2020,22512.0,11/07/2020,,08/08/2020,14/07/2020,,regular,,,,
3747,100.0,money_back,17/06/2020,18/12/2020,17075.0,18/06/2020,,,19/06/2020,,regular,,,,
6557,200.0,money_back,04/07/2020,18/12/2020,3617.0,04/07/2020,,,07/07/2020,,regular,,,,
7584,100.0,money_back,11/07/2020,18/12/2020,30914.0,11/07/2020,,,14/07/2020,05/09/2020,regular,,,,
9671,100.0,money_back,25/07/2020,18/12/2020,5273.0,25/07/2020,,,28/07/2020,,regular,01/08/2020,,,
7897,100.0,money_back,14/07/2020,18/12/2020,14364.0,14/07/2020,,,16/07/2020,,regular,,,,
4690,80.0,money_back,22/06/2020,18/12/2020,17345.0,23/06/2020,,,25/06/2020,,regular,,,,
3304,50.0,money_back,14/06/2020,18/12/2020,15034.0,15/06/2020,,,16/06/2020,,regular,,,,
10810,100.0,money_back,04/08/2020,18/12/2020,13720.0,04/08/2020,,,13/08/2020,,regular,11/08/2020,,,
5066,100.0,money_back,25/06/2020,18/12/2020,3160.0,25/06/2020,,,27/06/2020,,regular,,,,
10847,50.0,money_back,04/08/2020,18/12/2020,5009.0,04/08/2020,,,18/08/2020,10/09/2020,regular,11/08/2020,,,
